Molecule ID,Connectivity,Inhibition class,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,Phi,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
5a,0,non,12.94927316,12.94927316,0.118522594,-0.25741668,0.379207616,10.7,417.896,397.736,417.1244046,150,0,0.271895456,-0.35028002,0.35028002,0.271895456,0.833333333,1.466666667,2.133333333,35.49569187,10.04269734,2.189726606,-2.078618694,2.274568421,-2.160211289,6.310209227,-0.115702633,3.113374053,1.58159826,1187.292977,20.92407448,16.11422812,16.87015706,14.59735679,9.613738385,9.991702858,6.902810405,7.339246186,4.786507917,5.02160502,3.371995081,3.544098105,-3.57,9462515.119,19.73373806,8.842262986,4.526800712,178.6222197,15.61755573,5.693927995,0,5.907179729,5.907179729,0,9.589074368,0,0,0,47.9991423,54.44884259,33.72115242,0,9.589074368,45.69299683,0,4.983978521,0,12.84164325,10.63357721,95.14278469,0,0,10.63357721,11.37477255,0,11.60093989,16.79833798,11.21535881,0,22.47273829,78.86277189,5.022633314,10.90292493,0,73.99,0,9.589074368,0,18.23518108,22.82476921,22.1537627,0,6.066367068,72.79640482,15.61755573,11.60093989,0,6.185556777,28.56666096,7.190910893,3.446599337,-0.375939274,23.96187591,0.635446507,0,0,0.083333333,30,3,5,0,0,0,2,3,1,4,0,0,2,3,6,1,6,0,0,0,0,0,5.816363389,4,5.6449,121.0966,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,2,0,2,1,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5b,0,non,13.09805028,13.09805028,0.113870008,-0.252764093,0.32730148,10.84375,445.95,421.758,445.1557047,162,0,0.271895609,-0.35028002,0.35028002,0.271895609,0.875,1.53125,2.1875,35.49569197,10.04165153,2.191546938,-2.087053807,2.276437472,-2.161816366,6.310224874,-0.115702691,3.099106787,1.578668984,1309.678437,22.66456146,17.95952758,18.71545652,15.38505049,10.43510559,10.81307006,7.909719053,8.346154833,5.275076175,5.510173277,3.77465993,3.946762954,-3.57,18315225.26,21.6540788,9.28398992,5.006314293,191.352104,15.61755573,5.693927995,0,5.907179729,5.907179729,0,9.589074368,0,0,0,35.86640816,79.42321998,33.72115242,0,9.589074368,45.69299683,0,4.983978521,0,26.68911765,10.63357721,94.13695354,0,0,10.63357721,11.37477255,0,11.60093989,16.79833798,11.21535881,13.8474744,33.59964128,66.73003775,5.022633314,10.90292493,0,73.99,0,9.589074368,0,18.23518108,17.13738293,38.96805196,0,6.066367068,74.51114508,15.61755573,11.60093989,0,6.217778688,28.88629598,7.287925164,5.615482118,-0.366634101,20.72421498,0.631642626,3.947738979,0,0.153846154,32,3,5,0,0,0,2,3,1,4,0,0,2,3,6,1,6,0,0,0,0,0,6.282382791,4,6.26174,130.5706,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,2,0,2,3,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5c,0,non,13.0661015,13.0661015,0.11562605,-0.254520135,0.32730148,10.84375,445.95,421.758,445.1557047,162,0,0.271895458,-0.35028002,0.35028002,0.271895458,0.84375,1.4375,2.0625,35.49569197,10.04198661,2.190898604,-2.084216224,2.275900203,-2.161008386,6.310221854,-0.115703464,3.131002716,1.561611933,1275.178437,22.66456146,17.95952758,18.71545652,15.38505049,10.43510559,10.81307006,7.902810405,8.339246186,5.342063473,5.577160576,3.602811778,3.774914801,-3.57,19248703.36,21.6540788,9.28398992,5.006314293,191.352104,15.61755573,5.693927995,0,5.907179729,5.907179729,0,9.589074368,0,0,0,46.99331115,68.29631699,33.72115242,0,9.589074368,45.69299683,0,4.983978521,0,26.68911765,10.63357721,94.13695354,0,0,10.63357721,11.37477255,0,11.60093989,16.79833798,11.21535881,13.8474744,33.59964128,66.73003775,5.022633314,10.90292493,0,73.99,0,9.589074368,0,18.23518108,22.82476921,33.28066568,0,6.066367068,74.51114508,15.61755573,11.60093989,0,6.213106735,28.81792585,7.258044966,5.709479326,-0.370146185,20.6944402,0.63178855,3.989805006,0,0.153846154,32,3,5,0,0,0,2,3,1,4,0,0,2,3,6,1,6,0,0,0,0,0,6.282382791,4,6.26174,130.5706,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,2,0,2,3,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5d,0,non,13.2468274,13.2468274,0.109217421,-0.248111507,0.285318591,10.97058824,474.004,445.78,473.1870048,174,0,0.271895763,-0.35028002,0.35028002,0.271895763,0.794117647,1.352941176,1.941176471,35.49569207,10.03939344,2.193802338,-2.098502371,2.279142112,-2.163666246,6.310241274,-0.115702755,3.082182978,1.586824817,1364.046164,24.40504844,19.80482704,20.56075599,16.17274419,11.2564728,11.63443727,8.923536347,9.359972128,5.682305453,5.917402556,4.422719014,4.594822038,-3.57,35014091.78,23.58357954,9.735600864,5.488350074,204.0819882,15.61755573,5.693927995,0,5.907179729,5.907179729,0,9.589074368,0,0,0,23.73367403,104.3975974,33.72115242,0,9.589074368,45.69299683,0,4.983978521,0,40.53659204,10.63357721,93.13112238,0,0,10.63357721,11.37477255,0,11.60093989,16.79833798,11.21535881,27.6949488,44.72654426,54.59730362,5.022633314,10.90292493,0,73.99,0,9.589074368,0,18.23518108,17.13738293,50.09495494,0,6.066367068,64.09315121,27.75028987,11.60093989,0,6.250000599,29.20593101,7.384939436,7.850056509,-0.357328928,17.33160319,0.627838745,7.984737218,0,0.214285714,34,3,5,0,0,0,2,3,1,4,0,0,2,3,6,1,6,0,0,0,0,0,6.752950509,4,6.87858,140.0446,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,2,0,2,5,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5e,0,non,13.48297432,13.48297432,0.051810647,-0.471785285,0.33861662,10.84375,453.876,435.732,453.1055609,162,0,0.271897051,-0.35028002,0.35028002,0.271897051,0.875,1.53125,2.1875,35.49569201,10.04256816,2.192844306,-2.08188575,2.276225024,-2.162216623,6.310216622,-0.115703477,3.099106787,1.578668984,1319.850769,22.66456146,16.71545652,17.47138547,15.38505049,9.813070063,10.19103454,7.191454295,7.627890075,4.888164809,5.123261912,3.461493454,3.633596478,-3.71,18315225.26,21.51933728,9.195599892,4.948802638,186.9532905,15.61755573,17.32836968,0,5.907179729,5.907179729,0,9.589074368,8.780830095,0,0,23.73367403,66.58157673,33.72115242,0,18.36990446,45.69299683,0,4.983978521,0,12.84164325,10.63357721,94.64449224,0,0,10.63357721,20.15560264,0,11.60093989,16.79833798,11.21535881,11.63444168,22.47273829,66.73003775,5.022633314,10.90292493,0,73.99,17.54162141,18.36990446,0,24.44275097,32.86378229,0,36.39820241,30.33183534,0,15.61755573,11.60093989,26.83185778,6.140609063,28.41472792,6.499264313,2.192349324,-1.724281349,16.30854783,0.281369573,0,0,0.083333333,32,3,5,0,0,0,2,3,1,4,0,0,2,3,8,1,6,0,0,0,0,0,6.183850487,4,5.9231,121.0126,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,2,0,2,1,0,0,0,3,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5f,0,non,13.15280083,13.15280083,0.090943769,-0.418635781,0.33861662,10.84375,453.876,435.732,453.1055609,162,0,0.27189548,-0.35028002,0.35028002,0.27189548,0.84375,1.4375,2.0625,35.49569201,10.04260868,2.191641151,-2.080909493,2.275766903,-2.161207853,6.310215549,-0.115704852,3.131002716,1.561611933,1285.350769,22.66456146,16.71545652,17.47138547,15.38505049,9.813070063,10.19103454,7.184545647,7.620981428,4.927373121,5.162470224,3.395466602,3.567569626,-3.71,19248703.36,21.51933728,9.195599892,4.948802638,186.9532905,15.61755573,17.32836968,0,5.907179729,5.907179729,0,9.589074368,8.780830095,0,0,11.60093989,78.71431087,33.72115242,0,18.36990446,45.69299683,0,4.983978521,0,12.84164325,10.63357721,94.64449224,0,0,10.63357721,20.15560264,0,11.60093989,16.79833798,11.21535881,11.63444168,22.47273829,66.73003775,5.022633314,10.90292493,0,73.99,17.54162141,18.36990446,0,18.74882298,33.17148607,5.386224214,48.53093655,18.19910121,0,15.61755573,11.60093989,26.20443459,6.146991531,28.44367919,6.666949314,2.547110541,-1.497833191,16.07873477,0.3543777,0,0,0.083333333,32,3,5,0,0,0,2,3,1,4,0,0,2,3,8,1,6,0,0,0,0,0,6.183850487,4,5.9231,121.0126,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,2,0,2,1,0,0,0,3,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5g,0,non,13.04030589,13.04030589,0.170064615,-0.328853268,0.27570212,10.84375,486.786,468.642,485.0464599,162,0,0.271896257,-0.35028002,0.35028002,0.271896257,0.78125,1.40625,2.0625,35.4978779,10.04265519,2.192209339,-2.083951515,2.279203128,-2.160985041,6.315400955,-0.115702464,3.099106787,1.578668984,1317.095882,22.66456146,16.71545652,18.98324336,15.38505049,9.813070063,10.94696348,7.191454295,8.500761636,4.888164809,5.593456118,3.461493454,4.014172174,-2.99,18315225.26,22.21276378,9.652900079,5.247519478,199.2287522,15.61755573,5.693927995,0,5.907179729,5.907179729,0,9.589074368,0,0,0,46.93555381,66.58157673,43.76641905,0,9.589074368,68.89487661,0,4.983978521,0,12.84164325,10.63357721,93.05531718,0,0,10.63357721,11.37477255,0,34.80281967,16.79833798,11.21535881,0,22.47273829,66.73003775,15.06789994,10.90292493,0,73.99,0,9.589074368,0,18.23518108,44.1208736,10.90292493,0,60.66367068,6.066367068,15.61755573,34.80281967,0,18.19018497,28.72037389,8.064305368,3.031662171,-0.51881245,19.17055432,0.508398404,0,0,0.083333333,32,3,5,0,0,0,2,3,1,4,0,0,2,3,8,1,6,0,0,0,0,0,6.700549664,4,6.9517,131.1166,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,2,0,2,1,0,0,0,3,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5h,2,specific,13.0206236,13.0206236,0.173370444,-0.312264529,0.27570212,10.84375,486.786,468.642,485.0464599,162,0,0.271895468,-0.35028002,0.35028002,0.271895468,0.75,1.3125,1.9375,35.49787789,10.04266838,2.19128215,-2.08220935,2.277781573,-2.160594896,6.313814151,-0.115702949,3.131002716,1.561611933,1282.595882,22.66456146,16.71545652,18.98324336,15.38505049,9.813070063,10.94696348,7.184545647,8.493852989,4.927373121,5.666422855,3.395466602,3.819545941,-2.99,19248703.36,22.21276378,9.652900079,5.247519478,199.2287522,15.61755573,5.693927995,0,5.907179729,5.907179729,0,9.589074368,0,0,0,34.80281967,78.71431087,43.76641905,0,9.589074368,68.89487661,0,4.983978521,0,12.84164325,10.63357721,93.05531718,0,0,10.63357721,11.37477255,0,34.80281967,16.79833798,11.21535881,0,22.47273829,66.73003775,15.06789994,10.90292493,0,73.99,0,9.589074368,0,18.23518108,38.55742211,16.46637642,0,60.66367068,6.066367068,15.61755573,34.80281967,0,17.99590754,28.68624647,8.221968323,3.143602583,-0.485634973,19.0703957,0.534181029,0,0,0.083333333,32,3,5,0,0,0,2,3,1,4,0,0,2,3,8,1,6,0,0,0,0,0,6.700549664,4,6.9517,131.1166,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,2,0,2,1,0,0,0,3,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5i,0,non,13.04994488,13.04994488,0.136140506,-0.275034591,0.228096412,10.84375,575.688,557.544,572.9454287,162,0,0.271895465,-0.35028002,0.35028002,0.271895465,0.84375,1.4375,2.0625,79.91976193,10.04268707,2.191193683,-2.082605696,2.27808046,-2.16064592,9.104492591,-0.11570288,3.131002716,1.561611933,1285.350769,22.66456146,16.71545652,20.64337855,15.38505049,9.813070063,11.77703108,7.184545647,9.452332485,4.927373121,6.21980125,3.395466602,4.096235139,-2.61,19248703.36,22.57919608,9.896934864,5.408093135,206.3573149,15.61755573,5.693927995,0,5.907179729,5.907179729,0,9.589074368,0,0,0,43.46082769,78.71431087,42.66659145,0,9.589074368,77.55288463,0,4.983978521,0,12.84164325,10.63357721,91.95548959,0,0,10.63357721,11.37477255,0,43.46082769,16.79833798,11.21535881,0,22.47273829,75.67547678,5.022633314,10.90292493,0,73.99,0,9.589074368,0,18.23518108,28.51215548,25.41181546,0,6.066367068,60.66367068,47.47744352,11.60093989,1.861876467,12.97147604,28.77114501,7.18415801,3.352374798,-0.411175097,20.11747702,0.597112194,0,0,0.083333333,32,3,5,0,0,0,2,3,1,4,0,0,2,3,8,1,6,0,0,0,0,0,6.983276029,4,7.1699,136.4966,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,2,0,2,1,0,0,0,3,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5j,0,non,13.06351644,13.06351644,0.118908363,-0.257802448,0.196636242,10.84375,669.688,651.544,668.9177005,162,0,0.271895464,-0.35028002,0.35028002,0.271895464,0.84375,1.4375,2.0625,126.9137224,10.04269123,2.1911769,-2.082685207,2.276731842,-2.161054557,14.11313778,-0.115702808,3.131002716,1.561611933,1285.350769,22.66456146,16.71545652,21.78638205,15.38505049,9.813070063,12.34853283,7.184545647,10.11224587,4.927373121,6.600802418,3.395466602,4.286735723,-2.11,19248703.36,23.06180267,10.22078152,5.622396799,217.145896,15.61755573,5.693927995,0,5.907179729,5.907179729,0,9.589074368,0,0,0,11.60093989,123.8960521,40.86151696,0,9.589074368,90.87473808,0,4.983978521,0,12.84164325,10.63357721,90.1504151,0,0,10.63357721,11.37477255,0,56.78268114,16.79833798,11.21535881,7.140364542,22.47273829,66.73003775,5.022633314,10.90292493,0,73.99,0,9.589074368,0,18.23518108,22.82476921,29.29412724,0,6.066367068,60.66367068,60.79929698,11.60093989,2.181236328,10.64588203,28.81044091,7.246223053,3.449006508,-0.376710811,20.60212609,0.626240333,0,0,0.083333333,32,3,5,0,0,0,2,3,1,4,0,0,2,3,8,1,6,0,0,0,0,0,7.365926455,4,6.8541,146.5306,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,2,0,2,1,0,0,0,3,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
